judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
Mark R Rose,Supreme Court Justice,,2023-01-01,2036-12-31,Oneida,5th Judicial District,2023,,,,,,
Valerie B Nelson,,"ASC JUS, AP DIV, TPCT",,,Queens,Appellate Division 2nd Department,2005,,,"ASC JUS, AP DIV, TPCT",2025-01-01,2030-12-31,ADT/02/10
John J DelMonte,,,2024-02-14,2024-12-31,Erie,8th Judicial District,2024,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Steven Z Mostofsky,Supreme Court Justice,,2020-01-01,2027-12-31,Kings,Kings Supreme,2020,,,,,,
Lorna J McAllister,Supreme Court Justice,,2023-01-01,2032-12-31,Kings,Kings Supreme,2023,,,,,,
Christopher J McCarthy,Court of Claims Judge,,2014-01-01,2022-12-31,Albany,Court of Claims,2006,,,,,,
Connie Morales,Supreme Court Justice,,2023-01-01,2036-12-31,Bronx,Bronx Supreme Civil,2023,,,,,,
Ellen B Tobin,Court of Claims Judge,SUP CT JUSTICE,2023-07-10,2026-06-30,Nassau,10th Judicial District - Nassau,2023,,,,,,
David A Weinstein,Court of Claims Judge,SUP CT JUSTICE,2011-04-11,2020-03-13,Albany,Court of Claims,2011,,,,,,
Michael J Norris,Supreme Court Justice,,2025-01-01,2038-12-31,Niagara,8th Judicial District,2025,,,,,,
Desmond A Green,,,,,Richmond,Richmond Supreme,2014,,,"SUP CT JUS, CERT",2022-01-01,2027-12-31,
DonnaMarie E Golia,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2033-12-31,Queens,Appellate Division 2nd Department,2020,,,,,,ADT/02/16
Joseph A Zayas,Supreme Court Justice,CHF ADMNV JGE CTS,2017-01-01,2030-12-31,Queens,Queens Supreme,2012,,,,,,
Jacqueline D Williams,Supreme Court Justice,,2026-01-01,2033-12-31,Kings,Kings Supreme,2026,,,,,,
Christopher J Robles,Supreme Court Justice,,2025-01-01,2038-12-31,Kings,Kings Supreme,2025,,,,,,
Kelly A Vacco,Supreme Court Justice,,2023-01-01,2036-12-31,Erie,8th Judicial District,2023,,,,,,8/SJ/TOWN&VILLAGE
Elizabeth E Aherne,Supreme Court Justice,,2022-01-01,2035-12-31,Tompkins,6th Judicial District,2022,,,,,,
Peter M Rayhill,Supreme Court Justice,,2024-01-01,2031-12-31,Oneida,5th Judicial District,2024,,,,,,
Denis J Butler,Supreme Court Justice,,2022-01-01,2034-12-31,Queens,Queens Supreme,2008,,,,,,
Frank A Tinari,,,2023-01-01,2024-12-31,Suffolk,10th Judicial District - Suffolk,2023,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Peter J Kelly,Supreme Court Justice,,2024-01-01,2028-12-31,Queens,Queens Supreme,2024,,,,,,
Andrew G Ceresia,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2017-01-01,2030-12-31,Rensselaer,3rd Judicial District,2017,,,,,,ADT/03/04
Desmond C Lyons,Supreme Court Justice,,2026-01-01,2037-12-31,Westchester,9th Judicial District,2026,,,,,,
Margaret C Reilly,Supreme Court Justice,,2026-01-01,2033-12-31,Nassau,10th Judicial District - Nassau,2026,,,,,,
Fernando M Camacho,Court of Claims Judge,SUP CT JUSTICE,2014-01-01,2022-12-31,Suffolk,10th Judicial District - Suffolk,2008,,,,,,
Lisa A Grey,Supreme Court Justice,,2021-01-01,2034-12-31,Richmond,Richmond Supreme,2021,,,,,,
Michelle A Johnson,Supreme Court Justice,ADMNV JGE,2021-01-01,2034-12-31,Queens,Queens Supreme,2021,,,,,,AJ/QN/SUP/CR
Matthew P Blum,Supreme Court Justice,,2026-01-01,2039-12-31,Richmond,Richmond Supreme,2026,,,,,,
Tracy A CatapanoFox,Supreme Court Justice,,2021-01-01,2034-12-31,Queens,Queens Supreme,2021,,,,,,
