statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court,judge
County Family Court Judge,,2025-01-01,2034-12-31,Steuben,Steuben County Court (M-B),2014,,,,,,,Mathew K McCarthy
City Court Judge,,2023-01-01,2028-12-31,Westchester,Rye City Court,2023,,,,,,,Taylor A PiscionereKonicoff
City Court Judge,,2025-01-01,2034-12-31,Westchester,Yonkers City Court,2015,,,,,,,Evan Inlaw
District Court Judge,ACT CNTY JGE,2024-01-01,2029-12-31,Nassau,"Nassau District Ct, 2nd Dist",2006,,,,,,,Anthony W Paradiso
Family Court Judge NYC,,2024-01-25,2033-12-31,Bronx,Bronx County Family Court,2024,,,,,,,Michael A Liddie
Family Court Judge NYC,,2025-12-29,2035-12-28,Queens,Queens County Family Court,2012,,,,,,,Dean T Kusakabe
City Court Judge,,2025-01-01,2034-12-31,Onondaga,Syracuse City Court,2025,,,,,,,Tonastacia S Dennis
Civil Court Judge NYC,ACT FAM CT JGE,2025-01-01,2034-12-31,Kings,Kings Supreme Criminal,2025,,,,,,,Tawanna MSt Louis
Civil Court Judge NYC,,2017-01-01,2026-12-31,Kings,"NYC Civil Court, Kings County",2017,,,,,,,Odessa Kennedy
County Surrogate Family Court Judge,,2023-01-01,2032-12-31,Tioga,Tioga County Court (M-B),2023,,,,,,,Adam R Schumacher
Civil Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,New York,New York County Supreme Court,2022,,,,,,,Jeffrey S Zellan
Family Court Judge NYC,,2024-01-25,2033-12-31,Bronx,Bronx County Family Court,2024,,,,,,,Rantideva Singh
City Court Judge,,2024-01-01,2033-12-31,Oneida,Utica City Court,2024,,,,,,,Grant J Garramone
Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Nassau,Nassau County Family Court,2009,,,,,,,Robin M Kent
City Court Judge,,2026-01-08,2027-12-31,Erie,Tonawanda City Court,2026,,,,,,,Salvatore M Rua
District Court Judge,,2024-01-01,2029-12-31,Suffolk,Suffolk County Family Court,2024,,,,,,,Steven Weissbard
City Court Judge,,2023-01-01,2028-12-31,Nassau,Glen Cove City Court,2023,,,,,,,Joseph Capobianco
City Court Judge,,2023-01-05,2028-12-31,Cattaraugus,Salamanca City Court,2023,,,,,,,Jay D Carr
Civil Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx,NYC Criminal Ct - Bronx County,2022,,,,,,,Christopher Chin
District Court Judge,,2024-01-01,2029-12-31,Nassau,"Nassau District Ct, 1st Dist",2023,,,,,,,Madeleine C PetraraPerrin
Family Court Judge,,2025-01-01,2034-12-31,Oneida,Oneida County Supreme Court,2025,,,,,,,Raymond F Bara
Surrogate Court Judge,,2025-01-01,2034-12-31,Steuben,Steuben County Surrogate's Ct,2025,,,,,,,Christopher M Tunney
County Judge,,2017-01-01,2026-12-31,Oneida,Oneida County Supreme Court,2017,,,,,,,Robert Bauer
County Surrogate Court Judge,,2022-01-01,2029-12-31,Niagara,Niagara County Court,2022,,,,,,,John J OttavianoJr
Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,New York,New York County Supreme Court,2011,,,,,,,Leticia M Ramirez
Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Bronx,Bronx County Supreme Court,2017,,,,,,,Joseph A McCormack
Criminal Court Judge NYC,ACT SUP CT JUS,2023-10-31,2031-12-31,Queens,Queens Supreme Criminal Term,2021,,,,,,,Diego A Freire
Surrogate Court Judge,,2025-01-01,2034-12-31,Queens,Queens Supreme Civil Term,2022,,,,,,,Cassandra A Johnson
Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Kings,Kings Supreme Criminal,2011,,,,,,,John T Hecht
Surrogate Court Judge,,2019-01-01,2031-12-31,Richmond,Richmond County Surrogates Ct,2019,,,,,,,Matthew J Titone
Family Court Judge,,2021-01-01,2030-12-31,Onondaga,Onondaga County Supreme Court,2021,,,,,,,Julie A Cerio
City Court Judge,ACT CNTY JGE,2025-01-01,2029-12-31,Erie,Buffalo City Court,2015,,,,,,,Barbara R JohnsonLee
Civil Court Judge NYC,,2025-01-01,2034-12-31,Queens,Queens Supreme Criminal Term,2025,,,,,,,Sharifa M NasserCuellar
City Court Judge,,2025-08-14,2035-08-13,Westchester,White Plains City Court,2025,,,,,,,Christopher R Daniele
Criminal Court Judge NYC,ACT SUP CT JUS,2025-01-01,2029-12-31,Queens,Queens Supreme Criminal Term,2013,,,,,,,Bruna L DiBiase
District Court Judge,,2025-01-01,2030-12-31,Suffolk,"Suffolk Dist Ct, Second Dist",2024,,,,,,,Kenneth J Lauri
County Surrogate Court Judge,,2021-01-01,2030-12-31,Chemung,Chemung County Court (M-B),2013,,,,,,,Ottavio Campanella
Civil Court Judge NYC,ACT FAM CT JGE,2026-01-01,2035-12-31,New York,New York County Family Court,2026,,,,,,,Marisa Anelli
City Court Judge,ACT CNTY JGE,2021-01-01,2030-12-31,St. Lawrence,Ogdensburg City Court,2021,4,Town & Villiage,,,,,Marcia L LeMay
City Court Judge,,2020-12-18,2026-12-17,Clinton,Plattsburgh City Court,2020,,,,,,,Matthew G Favro
Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Albany,Albany County Family Court,2020,,,,,,,Amy E Joyce
County Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Ontario,Ontario County Court (M-B),2019,,,,,,,Kristina A Karle
Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,New York County Criminal Court,2017,,,,,,,Beth Beller
County Judge,ACT SUP CT JUS,2022-01-01,2028-12-31,Monroe,Monroe County Supreme Court,2011,,,,,,,Douglas A Randall
Family Court Judge NYC,,2020-01-04,2030-01-03,Queens,Queens County Family Court,2018,,,,,,,Lisa J Friederwitzer
Surrogate Court Judge,,2023-01-01,2032-12-31,New York,New York County Surrogate's Ct,2019,,,,,,,Hilary Gingold
Family Court Judge NYC,,2023-02-15,2028-12-31,Kings,Kings Supreme Criminal,2023,,,,,,,Sharon N Clarke
Family Court Judge,,2025-01-01,2034-12-31,Monroe,Monroe County Supreme Court,2025,,,,,,,Sarah E Marshall
County Surrogate Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Wayne,Wayne County Court (M-B),2024,,,,,,,John L Grow
Criminal Court Judge NYC,ACT SUP CT JUS,2021-08-11,2026-12-31,New York,New York County Criminal Court,2021,,,,,,,Valentina M Morales
Criminal Court Judge NYC,,2025-01-01,2034-12-31,Kings,"NYC Criminal Ct, Kings County",2025,,,,,,,Juan D Abreu
County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Livingston,Livingston County Court (M-B),2020,,,,,,,Jennifer M Noto
Family Court Judge NYC,,2025-01-01,2034-12-31,Kings,Kings Supreme Criminal,2025,,,,,,,Rosa M Astuto
County Surrogate Family Court Judge,,2026-01-01,2035-12-31,Cortland,Cortland County Supr Ct(M-B),2026,,,,,,,Randolph Kruman
County Judge,ACT SUP CT JUS,2019-01-01,2027-12-31,Suffolk,Suffolk County Court,1997,,,,,,,Joseph Farneti
Family Court Judge,,2024-01-01,2033-12-31,Clinton,Clinton County Court (M-B),2024,,,,,,,Amy Asadourian
City Court Judge,,2021-03-04,2027-03-03,Steuben,Corning City Court,2015,,,,,,,George J WelchJr
Family Court Judge,,2026-01-01,2035-12-31,Monroe,Monroe County Family Court,2025,,,,,,,Tonia M Ettinger
Criminal Court Judge NYC,,2024-12-17,2033-12-31,Kings,"NYC Criminal Ct, Kings County",2024,,,,,,,Jevet T Johnson
Criminal Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Kings,Kings Supreme Criminal,2022,,,,,,,Dale FongFrederick
City Court Judge,ACT CNTY JGE,2021-01-01,2030-12-31,Tompkins,Ithaca City Court,2014,,,,,,,Seth J Peacock
Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,New York County Criminal Court,2008,"NYC, Crim",Criminal,,,,,Kevin B McGrathJr
City Court Judge,ACT CNTY JGE,2025-01-01,2029-12-31,Warren,Glens Falls City Court,2004,4,Town & Villiage,,,,,Gary C Hobbs
Family Court Judge NYC,,2023-02-15,2032-08-30,Kings,Kings Supreme Criminal,2023,,,,,,,Raymi V RamseurUsher
County Surrogate Family Court Judge,,2025-01-01,2034-12-31,Essex,Essex County Court (M-B),2025,,,,,,,Kristy L Sprague
County Judge,,2025-01-01,2034-12-31,Rockland,Rockland County Family Court,2024,,,,,,,Djinsad Desir
County Judge,,2025-01-01,2033-12-31,Montgomery,Montgomery County Court,2025,,,,,,,Lorraine C Diamond
District Court Judge,,2025-01-01,2030-12-31,Suffolk,Suffolk County Family Court,2025,,,,,,,Paul L Damato
Family Court Judge,,2025-01-01,2034-12-31,Suffolk,Suffolk County Family Court,2025,,,,,,,Stuart P Besen
Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx,Bronx County Supreme Court,2015,,,,,,,Guy H Mitchell
Family Court Judge,ACT SUP CT JUS,2026-01-01,2031-12-31,Orange,Orange County Family Court,1997,,,,,,,Victoria B Campbell
Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx,Bronx County Supreme Court,2013,,,,,,,Laurence E Busching
Family Court Judge,,2018-01-01,2027-12-31,Oneida,Oneida County Family Court,2018,5,CJ/Treatment Courts,,,,,Paul M Deep
Family Court Judge,,2025-01-01,2034-12-31,Jefferson,Jefferson County Court,2018,,,,,,,Anthony M Neddo
Criminal Court Judge NYC,,2024-12-17,2028-12-31,Kings,"NYC Criminal Ct, Kings County",2024,,,,,,,Masateru Marubashi
City Court Judge,,2026-01-01,2031-12-31,Ontario,Ontario County Court (M-B),2021,,,,,,,Leslie Cohen Hickey
Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2029-12-31,Kings,"NYC Civil Court, Kings County",2023,Kings,Civil,,,,,Carmen A Pacheco
County Surrogate Family Court Judge,,2025-01-01,2034-12-31,Tompkins,Tompkins County Supr Ct(M-B),2025,,,,,,,Maura A KennedySmith
City Court Judge,,2021-12-04,2027-12-03,Fulton,Johnstown City Court,2015,,,,,,,Michael C Viscosi
City Court Judge,,2026-01-01,2031-12-31,Ontario,Geneva City Court,2025,,,,,,,Louis H Guard
Family Court Judge,,2025-01-01,2034-12-31,Albany,Albany County Family Court,2025,,,,,,,Jaime C Louridas
Criminal Court Judge NYC,ACT SUP CT JUS,2023-04-19,2032-12-31,Bronx,Bronx County Supreme Court,2023,,,,,,,Pamela A Goldsmith
County Judge,,2021-01-01,2030-12-31,Dutchess,Dutchess County Supreme Court,2021,,,,,,,Jessica Segal
Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings,"NYC Criminal Ct, Kings County",2025,,,,,,,Hemalee J Patel
County Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Rensselaer,Rensselaer County Court,2013,,,,,,,Debra J Young
Family Court Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Broome,Broome County Family Court,2015,,,,,,,Mark H Young
Civil Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,"NYC Civil Ct, New York County",2019,,,,,,,Ariel D Chesler
Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings,"NYC Civil Court, Kings County",2025,,,,,,,Turquoise Haskin
Civil Court Judge NYC,,2026-01-01,2035-12-31,Queens,"NYC Civil Court, Queens County",2026,,,,,,,Sheridan C Chu
County Surrogate Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Niagara,Niagara County Court,2021,,,,,,,Caroline Wojtaszek
City Court Judge,,2026-01-01,2035-12-31,Westchester,Mount Vernon City Court,2026,,,,,,,Danielle R Browne
Civil Court Judge NYC,,2023-01-01,2032-12-31,New York,"NYC Civil Ct, New York County",2023,,,,,,,Matthew A Bondy
City Court Judge,,2017-01-01,2026-12-31,Albany,"Albany City Court, Criminal Pt",2016,,,,,,,Joshua Farrell
Civil Court Judge NYC,ACT SUP CT JUS,2017-01-01,2026-12-31,New York,New York County Supreme Court,2017,,,,,,,Emily MoralesMinerva
Civil Court Judge NYC,ACT SUP CT JUS,2017-01-01,2026-12-31,New York,New York County Supreme Court,2017,,,,,,,Aija Tingling
Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Queens,Queens Supreme Criminal Term,2016,,,,,,,Kim Petersen
Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Schenectady,Schenectady County Family Ct,2014,,,,,,,Kevin A Burke
Civil Court Judge NYC,,2023-01-01,2032-12-31,New York,New York County Criminal Court,2023,,,,,,,Beverly S Tatham
City Court Judge,,2023-01-01,2028-12-31,Rensselaer,Troy City Court,2023,,,,,,,Marc Pallozzi
County Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Nassau,Nassau County Court,2021,,,,,,,Caryn R Fink
Family Court Judge,,2020-01-01,2029-12-31,Oswego,Oswego County Family Court,2020,,,,,,,Thomas Benedetto
District Court Judge,,2022-01-01,2027-12-31,Suffolk,"Suffolk Dist Ct, First Dist",2022,,,,,,,Jonathan R Bloom
Criminal Court Judge NYC,ADMNV JGE,2017-01-01,2026-12-31,New York,New York County Criminal Court,2010,,,,,,,Tamiko A Amaker
Family Court Judge NYC,,2023-01-01,2032-12-31,New York,New York County Family Court,2021,,,,,,,Janet L McFarland
Civil Court Judge NYC,ACT FAM CT JGE,2026-01-01,2035-12-31,Queens,Queens County Family Court,2026,,,,,,,Gail A Adams
Criminal Court Judge NYC,ACT SUP CT JUS,,2034-12-31,New York,"NYC Civil Ct, New York County",2023,,,,,,,Matthew V Grieco
Criminal Court Judge NYC,,2025-10-21,2026-12-31,Queens,Queens Supreme Criminal Term,2025,,,,,,,Jennifer Saint Preux
County Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Cayuga,Cayuga County Family Ct(M-B),2007,,,,,,,Thomas G Leone
Family Court Judge,,2019-01-01,2028-12-31,Oswego,Oswego County Family Court,2019,,,,,,,Allison J Nelson
City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Erie,Buffalo City Court,2018,,,,,,,Andrew C LoTempio
Family Court Judge NYC,,2025-01-01,2031-12-31,Richmond,Richmond County Surrogates Ct,2015,,,,,,,Peter F DeLizzo
City Court Judge,,2026-01-01,2035-12-31,Niagara,Niagara Falls City Court,2024,,,,,,,Jason J Cafarella
City Court Judge,,2019-01-01,2028-12-31,Nassau,Long Beach City Court,2019,,,,,,,William Miller
Family Court Judge NYC,,2021-04-01,2031-03-31,Queens,Queens County Family Court,2017,,,,,,,Elenor C Reid
City Court Chief Judge,,2026-01-01,2035-12-31,Niagara,Niagara Falls City Court,2016,,,,,,,Danielle M Restaino
Family Court Judge NYC,,2017-12-27,2027-12-26,Kings,Kings Supreme Criminal,2013,,,,,,,Erik S Pitchal
Criminal Court Judge NYC,,2023-04-19,2032-12-31,Kings,"NYC Criminal Ct, Kings County",2023,,,,,,,John N McPadden
Family Court Judge,,2025-01-01,2034-12-31,Jefferson,Jefferson County Family Court,2025,,,,,,,Justin F Brotherton
County Judge,,2023-01-01,2029-12-31,Onondaga,Onondaga County Court,2009,,,,,,,Theodore H Limpert
Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Bronx,Bronx County Sup Ct Civil Term,2020,,,,,,,Erik L Gray
Family Court Judge,,2025-01-01,2034-12-31,Orange,Orange County Family Court,2015,,,,,,,Christine P Krahulik
Criminal Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,Queens,Queens Supreme Criminal Term,2017,,,,,,,Mary L Bejarano
City Court Judge,,2023-01-01,2032-12-31,Westchester,Rye City Court,2020,,,,,,,Valerie A Livingston
City Court Judge,ACT CNTY JGE,2019-01-01,2028-12-31,Onondaga,Syracuse City Court,2019,,,,,,,Ann M Magnarelli
City Court Judge,,2026-01-01,2035-12-31,Westchester,New Rochelle City Court,2024,,,,,,,Michelle K Bernstein
District Court Judge,ACT CNTY JGE,2021-01-01,2026-12-31,Nassau,"Nassau District Ct, 4th Dist",2021,,,,,,,David W Wright
Family Court Judge NYC,,2024-10-02,2026-11-15,Bronx,Bronx County Family Court,2024,,,,,,,Juanita E Wing
Family Court Judge,,2024-01-01,2033-12-31,Erie,Erie County Family Court,2024,,,,,,,Shannon E Filbert
Family Court Judge,,2025-01-01,2034-12-31,Suffolk,Suffolk County Family Court,2025,,,,,,,Christopher C Brocato
Family Court Judge NYC,,2019-01-01,2027-12-31,New York,New York County Family Court,2010,,,,,,,Maria Arias
County Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Westchester,Westchester County Court,2018,,,,,,,George E FufidioJr
County Surrogate Family Court Judge,,2017-01-01,2026-12-31,Cattaraugus,Cattaraugus County Court (M-B),2017,,,,,,,Moses M Howden
Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,New York,New York County Supreme Court,2020,,,,,,,Anna R Lewis
City Court Judge,,2023-01-01,2032-12-31,Monroe,Rochester City Court,2022,,,,,,,Van H White
Family Court Judge NYC,,2019-05-14,2029-05-13,Bronx,Bronx County Family Court,2019,,,,,,,Ronna H GordonGalchus
Civil Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,New York County Supreme Court,2019,,,,,,,Kathleen C Waterman
Family Court Judge,,2018-01-01,2027-12-31,Westchester,Westchester County Family Ct,2018,,,,,,,Arlene AGordon Oliver
Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Saratoga,Saratoga County Family Court,2024,,,,,,,Heather BrondiMarx
County Judge,,2026-01-01,2035-12-31,Orange,Orange County Supreme Court,2026,,,,,,,Kara Gerry
City Court Judge,,2025-01-01,2028-12-31,Broome,Binghamton City Court,2008,,,,,,,Daniel L Seiden
Family Court Judge,,2024-01-01,2033-12-31,Erie,Erie County Family Court,2014,,,,,,,Deanne M Tripi
Family Court Judge,,2024-01-01,2033-12-31,Nassau,Nassau County Family Court,2024,,,,,,,Segal N Blakeman
City Court Judge,,2023-01-01,2032-12-31,Westchester,Yonkers City Court,2022,,,,,,,Ada D Medina
District Court Judge,ACT CNTY JGE,2024-01-01,2029-12-31,Nassau,"Nassau District Ct, 2nd Dist",2018,,,,,,,Maxine S Broderick
Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Suffolk,Suffolk County Family Court,2012,Suffolk,District,,,,,Karen Kerr
Family Court Judge,,2026-01-01,2035-12-31,Warren,Warren County Supreme Ct(M-B),2026,,,,,,,Eric C Schwenker
City Court Chief Judge,ACT CNTY JGE,2023-01-01,2032-12-31,Erie,Buffalo City Court,2015,8,City,,,,,JaHarr S Pridgen
City Court Judge,,2023-01-01,2032-12-31,Erie,Buffalo City Court,2022,,,,,,,Gary Wilson
City Court Judge,,2026-01-01,2026-12-31,Westchester,Yonkers City Court,2026,,,,,,,Alexandra R Bisesi
County Surrogate Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Tompkins,Tompkins County Court (M-B),2014,,,,,,,Joseph R Cassidy
Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,New York,"NYC Civil Ct, New York County",2023,NYC,Civil,,,,,Leroy A D'Souza
District Court Judge,,2026-01-01,2031-12-31,Nassau,"Nassau District Ct, 4th Dist",2019,,,,,,,James A Saladino
Surrogate Court Judge,,2024-01-01,2030-12-31,Kings,Kings County Surrogate's Court,2024,,,,,,,Bernard J Graham
Criminal Court Judge NYC,ADM JGE ACT SUP CT JS,2019-01-01,2028-12-31,Bronx,Bronx County Supreme Court,2003,,,,,,,Alvin M Yearwood
City Court Chief Judge,,2024-01-01,2031-12-31,Westchester,Yonkers City Court,2004,,,,,,,Arthur J DoranIII
District Court Judge,ACT CNTY JGE,2021-01-01,2026-12-31,Suffolk,"Suffolk Dist Ct, First Dist",2009,,,,,,,Jennifer A Henry
County Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Nassau,Nassau County Court,2008,,,,,,,Rhonda E Fischer
Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,New York,New York County Criminal Court,2021,,,,,,,Melissa T Lewis
Civil Court Judge NYC,,2018-01-01,2027-12-31,Kings,"NYC Civil Court, Kings County",2018,,,,,,,Ellen E Edwards
Surrogate Court Judge,,2022-01-01,2035-12-31,Kings,Kings County Surrogate's Court,2015,,,,,,,Rosemarie Montalbano
Surrogate Court Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Onondaga,Onondaga County Surrogate's Ct,2018,,,,,,,Mary K Smith
City Court Judge,,2025-01-01,2030-12-31,Orange,Port Jervis City Court,2024,,,,,,,Kiel E Van Horn
County Judge,,2026-01-01,2035-12-31,Erie,Erie County Court,2016,,,,,,,James F Bargnesi
Criminal Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,Kings,Kings Supreme Criminal,2019,,,,,,,Archana Rao
Family Court Judge NYC,,2024-09-04,2034-08-02,Bronx,Bronx County Family Court,2024,,,,,,,Pamela B Scheininger
County Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Nassau,Nassau County Court,2005,,,,,,,Tammy S Robbins
Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,Kings,Kings Supreme Criminal,2016,,,,,,,Eugene M Guarino
Surrogate Court Judge,ACT SUP CT JUS,2023-01-01,2031-12-31,Ontario,Ontario County Court (M-B),2002,,,,,,,Frederick G Reed
Criminal Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,Kings,"NYC Criminal Ct, Kings County",2017,Kings,Criminal,,,,,Keshia J Espinal
Criminal Court Judge NYC,,2023-02-15,2032-11-30,New York,New York County Criminal Court,2023,,,,,,,Janet M McDonnell
County Judge,,2023-01-01,2032-12-31,Onondaga,Onondaga County Court,2023,,,,,,,Melinda H McGunnigle
Civil Court Judge NYC,,2025-01-01,2034-12-31,Queens,Queens Supreme Criminal Term,2025,,,,,,,Glenda M Hernandez
Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx,Bronx County Sup Ct Civil Term,2025,,,,,,,Diomarys EscanoBell
City Court Judge,,2020-01-01,2029-12-31,Albany,"Albany City Court, Civil/Traff",2020,,,,,,,William G KellyJr
Civil Court Judge NYC,,2023-01-01,2032-12-31,Richmond,"NYC Civil Ct, Richmond County",2023,,,,,,,Mary A Kavanagh
Criminal Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,New York,New York County Criminal Court,2015,,,,,,,Kathryn S Paek
City Court Judge,,2025-01-01,2027-12-31,Cortland,Cortland City Court,1993,,,,,,,Lawrence J Knickerbocker
City Court Judge,,2023-01-01,2028-12-31,Fulton,Johnstown City Court,2015,,,,,,,Brett A Preston
Civil Court Judge NYC,,2026-01-01,2033-12-31,New York,New York County Criminal Court,2026,,,,,,,Terence W Mccormick
Criminal Court Judge NYC,,2023-10-31,2030-12-31,Queens,Queens Supreme Criminal Term,2021,,,,,,,Anthony M Battisti
District Court Judge,ACT CNTY JGE,2021-01-01,2026-12-31,Suffolk,Suffolk County Family Court,2015,Suffolk,Town & Villiage,,,,,Pierce F Cohalan
Family Court Judge NYC,,2022-12-01,2032-11-30,Kings,Kings Supreme Criminal,2019,,,,,,,Gregory L Gliedman
City Court Judge,,2023-09-11,2026-12-31,Genesee,Genesee County Supreme Ct(M-B),2023,,,,,,,Andrea R Clattenburg
Family Court Judge,,2017-01-01,2026-12-31,Chautauqua,Chautauqua County Family Court,2017,,,,,,,Michael J Sullivan
Family Court Judge,,2021-01-01,2029-12-31,Westchester,Westchester County Family Ct,2001,,,,,,,Nilda Morales Horowitz
Family Court Judge NYC,,2025-01-01,2034-12-31,Queens,Queens County Family Court,2015,,,,,,,Connie Gonzalez
Surrogate Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Cayuga,Cayuga County Surrogate's Ct,2022,,,,,,,Jon E Budelmann
District Court Judge,,2021-01-01,2026-12-31,Nassau,"Nassau District Ct, 1st Dist",2021,,,,,,,Lisa M Petrocelli
Civil Court Judge NYC,ACT SUP CT JUS,2025-01-01,2034-12-31,New York,New York County Supreme Court,2015,,,,,,,J Machelle Sweeting
Family Court Judge NYC,ACT SUP CT JUS,2024-10-06,2034-10-05,Bronx,Bronx County Family Court,2017,Bronx,Family,,,,,Alison M Hamanjian
County Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Monroe,Monroe County Court,2014,,,,,,,Caroline E Morrison
Family Court Judge,ACT CNTY JGE,2021-01-01,2030-12-31,Broome,Broome County Family Court,2021,,,,,,,Hollie S Levine
City Court Judge,ACT CNTY JGE,2019-01-01,2028-12-31,Schenectady,Schenectady City Court,2018,,,,,,,Teneka E Frost
Civil Court Judge NYC,,2025-01-01,2034-12-31,Queens,"NYC Civil Court, Queens County",2025,,,,,,,Peter F Lane
City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Saratoga,Saratoga Springs City Court,2017,,,,,,,Francine R Vero
Family Court Judge,ACT SUP CT JUS,2026-01-01,2035-12-31,Dutchess,Dutchess County Family Court,2016,,,,,,,Tracy C MacKenzie
Family Court Judge,,2025-01-01,2034-12-31,Oneida,Oneida County Supreme Court,2015,,,,,,,Julia Brouillette
County Surrogate Family Court Judge,ACT SUP CT JUS,2023-01-01,2026-12-31,Wayne,Wayne County Court (M-B),2023,,,,,,,Arthur B WilliamsJr
Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Kings,"NYC Criminal Ct, Kings County",2019,,,,,,,Kerry J Ward
Criminal Court Judge NYC,,2023-01-01,2032-12-31,New York,New York County Criminal Court,2022,,,,,,,Michael E Ryan
City Court Judge,,2021-01-01,2030-12-31,Cattaraugus,Olean City Court,2021,,,,,,,Nicholas A DiCerboJr
City Court Judge,,2021-01-01,2030-12-31,Oneida,Utica City Court,2021,,,,,,,Joseph A SabaJr
Civil Court Judge NYC,,2026-01-01,2035-12-31,New York,New York County Criminal Court,2026,,,,,,,Janice E Chen
City Court Judge,,2024-01-01,2029-12-31,Herkimer,Little Falls City Court,2023,,,,,,,Sarah M Brinski
Criminal Court Judge NYC,,2025-11-14,2028-12-31,Kings,"NYC Criminal Ct, Kings County",2025,,,,,,,Philip V Tisne
City Court Judge,,2020-03-17,2026-03-16,Oswego,Oswego City Court,2002,,,,,,,Thomas A Reynolds
County Surrogate Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Fulton,Fulton County Court (M-B),2022,,,,,,,Chad W Brown
Civil Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,New York,New York County Supreme Court,2024,,,,,,,Dana M Catanzaro
Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Nassau,Nassau County Family Court,2007,Nassau,Family,,,,,Ellen R Greenberg
Surrogate Court Judge,ACT SUP CT JUS,2020-01-01,2026-12-31,Oneida,Oneida County Surrogate's Ct,2009,,,,,,,Louis P Gigliotti
City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Niagara,Lockport City Court,2005,,,,,,,Thomas M DiMillo
Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,New York County Criminal Court,2012,,,,,,,Ann Scherzer
Criminal Court Judge NYC,ACT SUP CT JUS,2026-01-01,2029-12-31,Queens,Queens Supreme Criminal Term,2017,,,,,,,Jerry M Iannece
Family Court Judge,,2024-01-01,2033-12-31,Onondaga,Onondaga County Family Court,2024,,,,,,,Joseph J Zavaglia
City Court Judge,ACT FAM CT JGE,2023-01-01,2032-12-31,Rensselaer,Troy City Court,2022,,,,,,,Anne L Coonrad
