statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court,judge
Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,New York,New York County Criminal Court,2018,,,,,,,Marisol Martinez Alonso
Criminal Court Judge NYC,,2020-01-01,2029-12-31,Queens,Queens Supreme Criminal Term,2019,,,,,,,Wanda L Licitra
District Court Judge,,2023-01-01,2027-12-31,Nassau,"Nassau District Ct, 2nd Dist",2022,,,,,,,Norman A Sammut
Criminal Court Judge NYC,ACT SUP CT JUS,2026-01-01,2030-12-31,Queens,Queens Supreme Criminal Term,2018,,,,,,,Michael J Hartofilis
District Court Judge,,2025-01-01,2030-12-31,Nassau,"Nassau District Ct, 1st Dist",2025,,,,,,,Michele M Johnson
Civil Court Judge NYC,,2025-01-01,2034-12-31,Queens,"NYC Civil Court, Queens County",2025,,,,,,,Melissa B Deberry
Criminal Court Judge NYC,ACT SUP CT JUS,2024-01-25,2031-12-31,Bronx,Bronx County Supreme Court,2024,,,,,,,Samuel L David
Family Court Judge,ACT CNTY JGE,2025-01-01,2034-12-31,Chenango,Chenango County Court (M-B),2025,,,,,,,Diane M Distefano
Criminal Court Judge NYC,,2025-10-21,2028-12-31,Kings,"NYC Criminal Ct, Kings County",2025,,,,,,,Philip N Pilmar
Civil Court Judge NYC,,2026-01-01,2035-12-31,Queens,Queens Supreme Criminal Term,2026,,,,,,,Indira D Khan
Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx,Bronx County Sup Ct Civil Term,2019,,,,,,,Malaika ScottMcLaughlinBland
Family Court Judge,,2021-01-01,2030-12-31,Onondaga,Onondaga County Supreme Court,2021,,,,,,,Christina F DeJoseph
Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings,"NYC Criminal Ct, Kings County",2025,,,,,,,Jacob Zelmanovitz
Criminal Court Judge NYC,,2022-01-01,2031-12-31,New York,New York County Criminal Court,2018,,,,,,,Jeffrey A Gershuny
County Judge,ACT SUP CT JUS,2026-01-01,2027-12-31,Nassau,Nassau County Court,2016,Nassau,Town & Villiage,,,,,Robert G Bogle
Civil Court Judge NYC,ACT FAM CT JGE,2025-01-01,2028-12-31,Queens,Queens County Family Court,2025,,,,,,,Elizabeth J Newton
Civil Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,Queens,"NYC Civil Court, Queens County",2024,New York,Civil,,,,,Michael H Goldman
